Cálculo1,LPT,P1,IC,Cálculo2,cra
8.7,10,9,9.1,8.4,8.47764705882353
7,7,7.7,7,6.2,6.8517241379310345
8.6,9.8,7.9,9.6,8.7,9.090588235294119
7.8,8.3,6.8,8.2,8,7.283516483516483
5.2,9.3,5,8.5,5,7.205747126436782
6.1,9.2,9.1,9.3,5.6,7.808235294117647
6.3,9.6,8.3,8.6,6.7,8.858823529411765
7.5,8.9,7.5,7.9,5,6.158823529411765
6.6,9,5,7.9,5,6.7305882352941175
7.5,6.5,7.3,9.2,8.2,7.079310344827586
6.6,7.9,8.4,7.5,8.3,6.387378640776698
8.4,10,9.3,9.6,7,6.134513274336284
5.6,7.3,6.7,8.1,5,6.834065934065934
9.7,9.1,7.2,8.3,5,7.247191011235955
7.4,7.5,6.5,7.3,5.4,6.116279069767442
7.2,9.5,8.9,8.1,5.8,8.52235294117647
8.8,8.4,9.8,9.3,7,8.771764705882353
7,9.6,8.6,9.3,7.5,8.661176470588236
5.8,10,8.2,7.4,7.2,7.010588235294118
7,7.2,5.3,7.6,5,7.1247191011235955
7,7.5,5.6,8,5.6,7.058620689655172
9.2,8.3,8.6,8.4,7.6,8.772941176470589
7.2,8.5,7.7,8.4,5,7.725882352941177
5.6,8,5,8.5,8.2,6.467032967032967
7.3,8.3,7,7.7,7.2,7.083157894736842
7,8.7,6.5,8.1,5,6.604819277108434
8.8,7.3,6.2,8.3,5,7.212413793103448
8.3,9.6,7,9.1,5.1,7.9941176470588236
7,9.6,8.4,8.2,9,7.963218390804597
6.1,9.8,8,8.8,5,8.032183908045976
7.2,8.8,8.4,7.8,5.4,6.510752688172043
8.1,9,7.8,7.9,5,8.213793103448277
7.3,9,9.2,7.4,7,7.34
6.3,7.8,7.1,6.3,7.7,7.144705882352941
5,7.3,5.6,5.9,5,5.959405940594059
8.3,8.6,5.5,7.1,5.1,5.635398230088495
8.3,9.4,9.6,7.4,7.9,7.347126436781609
7.5,7,8,8,5.2,6.578571428571429
7,9,5.9,6,7,6.3364705882352945
7.5,9.4,8.1,9.2,6.5,8.530588235294118
5.3,9.5,9.1,8,5,7.4348314606741575
9.5,8.5,5,7.5,5.4,7.059550561797752
7.2,7.75,5.7,7,5.2,6.810344827586207
8.3,9.3,5,7.2,5,7.58235294117647
7.3,9.6,7.7,9,5.7,7.592941176470588
5.1,9.6,7.8,8.4,5.6,6.843956043956044
7,9.1,8.5,8.8,5,7.923529411764706
5.4,9,8.5,9.3,5.9,7.44022988505747
7.5,9.5,8.6,8.5,8,8.270588235294118
5.9,8,6.2,8.4,5.7,7.7964705882352945
8.8,8.3,6.6,7,5.1,4.874468085106383
7.2,7.6,7.9,7.7,6.1,7.495402298850575
7,8.5,8.1,7.3,5,6.783146067415731
7.2,9.1,8.2,8.9,5.2,7.225806451612903
5,7,8,7.2,5,7.933734939759036
7.8,9.2,7.6,9.8,6.3,8.309411764705882
8.6,9.6,8.6,9.5,7.5,8.439759036144578
8.2,9.6,8.8,8.4,7,8.2470588235294109
8.7,8,8.3,8.2,7.5,7.368539325842696
5.9,7,6.1,7.8,5.1,6.634939759036145
7.2,7.7,8.3,7.9,5,8.02235294117647
8.7,8.7,8.1,8.9,5.2,7.442528735632184
7.2,9.2,7,8.8,5.7,7.501176470588236
6.8,8.2,7.1,8.9,5.3,6.000934579439252
8.1,9.3,8,7.5,5.5,7.761176470588236
7.5,8.5,7.3,8.6,7,7.684705882352942
7.1,9.1,9.5,7.9,7,6.763636363636364
7.3,7,8.3,7,7,6.929166666666667
7,8,7,8.6,5.3,7.86987951807229
5.8,9.3,7.8,8.2,6.4,7.720689655172414
5.1,6.2,5,8,6,7.267469879518073
8.2,6.2,5.4,6.7,5.1,7.250574712643678
9.8,7.6,10,10,8.5,8.850588235294117
6.2,7.5,8.1,7.2,8.6,6.415841584158416
8.7,8.2,8.1,9.9,8.3,8.802352941176471
6.2,10,5,7.8,8,5.758878504672897
7.8,7.3,9.1,9.8,8,7.669230769230769
5.2,7.7,5.4,7.5,7.5,5.581651376146789
6.7,9.3,7.4,8.3,5.1,7.207865168539326
5.3,7.6,7.4,9,5.8,6.905263157894737
7.2,8.3,7.8,8.1,9.3,6.931958762886597
9.5,8,6,7.1,7,7.4011764705882355
5.6,7,6.6,8.6,5.2,6.995505617977528
7.1,10,5.1,7,7.3,6.986206896551724
8,7.8,5,8.2,8.2,7.102247191011236
5,7.2,7.8,7.4,5.3,7.282022471910112
9.5,8,8.9,9.8,8.1,8.924705882352942
6.1,8.6,7.4,8.3,5,7.3
